"sample" "Activity" "TimeBodyAccelerometerMean()-Y" "TimeBodyAccelerometerMean()-Z" "TimeGravityAccelerometerMean()-X" "TimeGravityAccelerometerMean()-Y" "TimeGravityAccelerometerMean()-Z" "TimeBodyAccelerometerJerkMean()-X" "TimeBodyAccelerometerJerkMean()-Y" "TimeBodyAccelerometerJerkMean()-Z" "TimeBodyGyroscopeMean()-X" "TimeBodyGyroscopeMean()-Y" "TimeBodyGyroscopeMean()-Z" "TimeBodyGyroscopeJerkMean()-X" "TimeBodyGyroscopeJerkMean()-Y" "TimeBodyGyroscopeJerkMean()-Z" "TimeBodyAccelerometerMagnitudeMean()" "TimeGravityAccelerometerMagnitudeMean()" "TimeBodyAccelerometerJerkMagnitudeMean()" "TimeBodyGyroscopeMagnitudeMean()" "TimeBodyGyroscopeJerkMagnitudeMean()" "FrequencyBodyAccelerometerMean()-X" "FrequencyBodyAccelerometerMean()-Y" "FrequencyBodyAccelerometerMean()-Z" "FrequencyBodyAccelerometerMeanFreq()-X" "FrequencyBodyAccelerometerMeanFreq()-Y" "FrequencyBodyAccelerometerMeanFreq()-Z" "FrequencyBodyAccelerometerJerkMean()-X" "FrequencyBodyAccelerometerJerkMean()-Y" "FrequencyBodyAccelerometerJerkMean()-Z" "FrequencyBodyAccelerometerJerkMeanFreq()-X" "FrequencyBodyAccelerometerJerkMeanFreq()-Y" "FrequencyBodyAccelerometerJerkMeanFreq()-Z" "FrequencyBodyGyroscopeMean()-X" "FrequencyBodyGyroscopeMean()-Y" "FrequencyBodyGyroscopeMean()-Z" "FrequencyBodyGyroscopeMeanFreq()-X" "FrequencyBodyGyroscopeMeanFreq()-Y" "FrequencyBodyGyroscopeMeanFreq()-Z" "FrequencyBodyAccelerometerMagnitudeMean()" "FrequencyBodyAccelerometerMagnitudeMeanFreq()" "FrequencyBodyAccelerometerJerkMagnitudeMean()" "FrequencyBodyAccelerometerJerkMagnitudeMeanFreq()" "FrequencyBodyGyroscopeMagnitudeMean()" "FrequencyBodyGyroscopeMagnitudeMeanFreq()" "FrequencyBodyGyroscopeJerkMagnitudeMean()" "FrequencyBodyGyroscopeJerkMagnitudeMeanFreq()" "TimeBodyAccelerometerSTD()-X" "TimeBodyAccelerometerSTD()-Y" "TimeBodyAccelerometerSTD()-Z" "TimeGravityAccelerometerSTD()-X" "TimeGravityAccelerometerSTD()-Y" "TimeGravityAccelerometerSTD()-Z" "TimeBodyAccelerometerJerkSTD()-X" "TimeBodyAccelerometerJerkSTD()-Y" "TimeBodyAccelerometerJerkSTD()-Z" "TimeBodyGyroscopeSTD()-X" "TimeBodyGyroscopeSTD()-Y" "TimeBodyGyroscopeSTD()-Z" "TimeBodyGyroscopeJerkSTD()-X" "TimeBodyGyroscopeJerkSTD()-Y" "TimeBodyGyroscopeJerkSTD()-Z" "TimeBodyAccelerometerMagnitudeSTD()" "TimeGravityAccelerometerMagnitudeSTD()" "TimeBodyAccelerometerJerkMagnitudeSTD()" "TimeBodyGyroscopeMagnitudeSTD()" "TimeBodyGyroscopeJerkMagnitudeSTD()" "FrequencyBodyAccelerometerSTD()-X" "FrequencyBodyAccelerometerSTD()-Y" "FrequencyBodyAccelerometerSTD()-Z" "FrequencyBodyAccelerometerJerkSTD()-X" "FrequencyBodyAccelerometerJerkSTD()-Y" "FrequencyBodyAccelerometerJerkSTD()-Z" "FrequencyBodyGyroscopeSTD()-X" "FrequencyBodyGyroscopeSTD()-Y" "FrequencyBodyGyroscopeSTD()-Z" "FrequencyBodyAccelerometerMagnitudeSTD()" "FrequencyBodyAccelerometerJerkMagnitudeSTD()" "FrequencyBodyGyroscopeMagnitudeSTD()" "FrequencyBodyGyroscopeJerkMagnitudeSTD()"
"LAYING" 1 0.234780479395833 -0.0435622452041667 -0.112065143339583 0.0365652194791667 0.52127522175 -0.231605965916667 0.0750482509583333 0.006415084668125 0.01260908163125 -0.0316356673395833 -0.070051469175 -0.0416058507395833 -0.094924301375 -0.0491678606770833 -0.0291744327645833 -0.163382573395833 -0.163382573395833 -0.0563879857291667 -0.0443131194145833 -0.1108698051625 -0.934417339583333 -0.8593074964375 -0.823717948125 -0.09185665741875 0.145255435104167 -0.996275052708333 -0.948536226458333 -0.916789154791667 -0.164166666666667 0.147338272666667 0.0303496244541667 -0.996866426458333 -0.872213128964583 -0.945145110208333 -0.96551724125 0.131303388828333 -0.0202402846270833 -0.995968054375 -0.655172413541667 -0.608952063152083 -0.814814815416667 -0.6869637309375 -0.936965812291667 -0.421299538583333 -0.883597883958333 -0.0852008280416667 -0.928994429791667 -0.827342672520833 0.546022695395833 -0.917001667291667 -0.905886833916667 -0.00288108696291667 -0.94870194 -0.916124908958333 0.111964238375 -0.893843550854167 -0.941378405833333 -0.0638954874375 -0.929536048333333 -0.963843327708333 -0.864958041729167 -0.864958041729167 -0.947081536458333 -0.873495145229167 -0.96178161875 -0.903542417291667 -0.927417260208333 -0.823735870520833 -0.948672921875 -0.953681771041667 -0.921961136041667 -0.91676453625 -0.901505578125 -0.939723345416667 -0.877738054895833 -0.926791018958333 -0.877545593958333 -0.948575951041667
"LAYING" 2 0.279707605694444 -0.0191542346194444 0.0241481227927778 0.228056839583333 0.302569469097222 -0.0293419794444444 0.0784568141388889 0.0153605126497222 0.0322510730416667 -0.0337211339083333 -0.0829110398944444 -0.314887382347222 -0.0974822110972222 -0.0383859345305556 -0.169152653038889 -0.192342656652778 -0.192342656652778 -0.0394890955180556 -0.0767426671944444 -0.101726662888889 -0.980860611805556 -0.96828132125 -0.873931623930556 0.0189356439758333 0.171816464545833 -0.999563733888889 -0.986466111666667 -0.98024449375 -0.162222222222222 0.231087492360639 0.0539224449613889 -0.999753521944444 -0.983957422361111 -0.98256147375 -0.960727969305556 0.125388652290278 -0.0715542598986111 -0.999500159583333 -0.809386973166667 -0.653986789513889 -0.818783068888889 -0.832802533347222 -0.953703703888889 -0.423254163166667 -0.93430335125 -0.111104109041667 -0.981434994583333 -0.964019262361111 0.402341690583333 -0.969086030138889 -0.972571714583333 0.0054736502125 -0.986567058333333 -0.980864362222222 0.0877841707083333 -0.98662328625 -0.980638975833333 -0.0563861060277778 -0.991493894166667 -0.989946486666667 -0.973649248333333 -0.973649248333333 -0.987256898472222 -0.942345051944444 -0.991279055277778 -0.976700825277778 -0.981761143611111 -0.963589381666667 -0.986102656388889 -0.987948230416667 -0.98315449875 -0.95892993 -0.987508149583333 -0.97975078875 -0.967893662777778 -0.984842681666667 -0.969885276388889 -0.989865267083333
"LAYING" 3 0.276182877631579 -0.0186170123052632 0.233634828265789 0.916715110526316 -0.304063725635395 0.210421772960526 0.0594232943209211 0.0216837106336842 0.150335472092237 -0.00303383177105263 -0.0783159760263158 -0.160212949526316 -0.107545956328947 -0.0397040285921053 -0.120854391200132 -0.131013014151316 -0.131013014151316 -0.0599432414 0.0280238855788158 -0.209416918329079 -0.788299441578947 -0.647126764239474 -0.915991901973684 -0.188765896959211 -0.0932370959197368 -0.992449280921053 -0.808336456184211 -0.736002368960526 -0.446842105263158 -0.0336302218573684 -0.273747827019737 -0.992839175394737 -0.746594508289474 -0.84077351368421 -0.885662431973684 -0.220520402675 -0.289393496968421 -0.989190808289474 -0.735934664210526 -0.613431465263158 -0.915204676973684 -0.573394109097368 -0.921052632236842 -0.538873848101316 -0.921052630526316 -0.107929014639763 -0.765351519473684 -0.599006007110526 -0.0215536300802632 -0.9683273975 -0.931571091184211 0.00507238836960526 -0.797385728421053 -0.722518585380263 0.0644689172763158 -0.762039869078947 -0.820258304078947 -0.0440634807 -0.8041909825 -0.904620938289474 -0.690750349460526 -0.690750349460526 -0.794632314605263 -0.712938209473684 -0.863807078026316 -0.79801632 -0.757751391407895 -0.600586119759211 -0.876811875657895 -0.804133404605263 -0.726834306065789 -0.762327314736842 -0.769612711052632 -0.810214715394737 -0.7287652975 -0.780178479473684 -0.790786325921053 -0.886196059342105
"LAYING" 4 0.281173174861111 -0.01500005276875 -0.0405039418138889 0.418318868611111 0.307428631676389 -0.0697061503138889 0.0819567659861111 0.00593723848333333 0.108995552797222 -0.0471203096120833 -0.0790900742902778 -0.109421200715278 -0.105056021294444 -0.0346085325111111 -0.0656624140058333 -0.0914717495726389 -0.0914717495726389 0.0174654178069444 0.124605777793056 -0.152938201254167 -0.605512663527778 -0.4539896553125 -0.87179487125 -0.211149825094444 0.180815102883333 -0.985398622916667 -0.575487501111111 -0.528360174763889 -0.320555555555556 0.00213598879041667 -0.159789404680556 -0.986404560555556 -0.581202678180556 -0.804768913611111 -0.807471263888889 -0.128093430494444 -0.419765149888889 -0.954491269583333 -0.686781607916667 -0.7372074595 -0.872134036666667 -0.387395895609722 -0.846866095833333 -0.473734977638889 -0.895943560694444 -0.113818133347222 -0.601395466676389 -0.417747196448611 0.238209534027778 -0.975633077361111 -0.971037883055556 -0.000528825241388889 -0.542273327666667 -0.494369395081944 0.0887276091708333 -0.660419252638889 -0.782830044027778 -0.0495538843166667 -0.6706415775 -0.884553548888889 -0.537619284447222 -0.537619284447222 -0.589275545277778 -0.657795659077778 -0.795852335972222 -0.761140602083333 -0.600588602611111 -0.436986955101528 -0.827131425 -0.549260584680555 -0.491319508027778 -0.739860737777778 -0.686836475416667 -0.772405546527778 -0.608405795583333 -0.555134392305556 -0.732925497097222 -0.817970913333333
"LAYING" 5 0.274057266525424 -0.0227291689105085 0.303836235847458 0.94574793220339 -0.177300196311864 0.235394519 0.08156727 0.0202863339813559 0.269443294016949 -0.00632839630508474 -0.0870615163762712 -0.144339970257627 -0.120030266661017 -0.0752899015110169 -0.155374121622034 0.0929169824762034 0.0929169824762034 -0.102655050033898 -0.127331789176271 0.0417966752615254 -0.0631692159491525 0.0493775713898305 -0.885267273220339 -0.433253739864407 -0.0688881206118644 -0.950554223559322 -0.191296336732203 -0.159279688898305 -0.297627118644068 -0.358420440288136 -0.51557859559322 -0.953688598644068 -0.289447886844068 -0.470760454745763 -0.590882524898305 -0.0376532113423729 -0.0548703074967797 -0.863286582542373 -0.477498537288136 -0.478811154050847 -0.89615280779661 -0.48766153179661 -0.819209039830509 -0.768480157457627 -0.897767013050847 -0.0946621745254237 0.0825477447067797 0.121715534271186 0.00371383822842542 -0.944335541525424 -0.892846009830508 0.00246329286033898 -0.12089258640678 -0.0738804156745763 0.0526138156644068 -0.461501599322034 -0.451242825423729 -0.0365570678525424 -0.355993322542373 -0.590713055084746 0.105738088698305 0.105738088698305 -0.176664093050847 -0.240927087677966 -0.455728574745763 -0.434229781355932 0.133551051777966 0.0857915146915254 -0.564785407288136 -0.126800784915254 -0.043322970981017 -0.12292943469661 -0.517776279661017 -0.44717758338983 -0.0431204495423729 -0.165357470813559 -0.387771939644068 -0.525827661525424
"LAYING" 6 0.2774671215 -0.0217807970514815 0.199817333232593 0.934320730925926 -0.216878242592593 0.23690590887037 0.106219440759259 0.0120443160266667 0.325253141183333 -0.0962386668833333 -0.0372690735055556 -0.17337968965963 -0.0317635433203704 -0.0680008406462963 -0.358155191185185 0.0984953329259259 0.0984953329259259 -0.0795450238722222 -0.0991395088888889 0.0121678720203704 0.206976245925926 0.281945278712963 -0.595441593944444 -0.378569522555556 0.0165091677242593 -0.822877504444444 0.0679436763537037 0.0795276609944444 -0.301481481481481 -0.297476576907407 -0.467667373333333 -0.812302233555556 -0.0213938900314815 -0.186456281481481 -0.181353767444444 0.0460655943518519 0.146445095096296 -0.699959865185185 -0.487867175740741 -0.571002616037037 -0.890064664074074 -0.566703519314815 -0.84045584 -0.789773517962963 -0.899470896296296 -0.111027498296296 0.228972576425926 0.310358174085 0.00849318255814815 -0.957647896666667 -0.934517924259259 -0.021592450062963 0.0920083713333333 0.199139660025926 0.0819573204446296 -0.271154304027778 -0.235979831596296 -0.0447759205277778 -0.020090221887037 -0.251593804388889 0.219036637962963 0.219036637962963 0.0322169166296296 -0.0633919763055556 -0.139956850648148 -0.328229597259259 0.23456836687037 0.241084410277778 -0.336628529592593 0.0169163152424444 0.248008221298148 0.0817654503425926 -0.356007433764815 -0.275550462518519 0.263603337666667 0.171465920731481 -0.0848966889296296 -0.190363180462963
"LAYING" 7 0.274785777424242 -0.0187656091151515 0.456888955606061 0.921338688333333 -0.152911902636364 0.364095175969697 0.0952277913757576 -0.00223027456515151 0.481305396515152 -0.104760293936364 -0.0450514089777273 -0.0796324562315152 -0.0620320085090909 -0.0498214578674242 -0.434580228754545 0.0558919499090909 0.0558919499090909 0.0886272993393939 0.0317193045166667 0.240840688681818 -0.0591144339090909 -0.160538825454545 -0.693473192272727 -0.358395388242424 -0.00751110123333333 -0.886300513636364 -0.12887363265303 -0.311393433969697 -0.489090909090909 -0.315408290969697 -0.386255480666667 -0.888570803787879 -0.347467080939394 -0.24949270340303 -0.678160919545455 -0.170126631483333 0.180870755579697 -0.926671948181818 -0.585161963484849 -0.685795610757576 -0.887926884242424 -0.176412031977273 -0.871794871212121 -0.60716987919697 -0.895141892121212 -0.109135482751515 -0.0323200669 -0.152284984492424 -0.181945850724242 -0.960038936818182 -0.951750170909091 -0.0160343202393939 -0.0775562912386364 -0.285593675056061 0.116148332136515 -0.424623110030303 -0.318762625681818 -0.0827685987772727 -0.482312183801515 -0.328934032027273 -0.0164054362030303 -0.0164054362030303 -0.202001905917121 -0.212540837969697 -0.416363634090909 -0.129537510807576 -0.0234703674257576 -0.203016820924242 -0.29395139180303 -0.108297840939394 -0.307455966909091 -0.321820145924242 -0.452690352409091 -0.371655116818182 0.0878415763757576 -0.00302876154090909 -0.281950855424242 -0.319146937848485
"LAYING" 8 0.273381957931034 -0.0211733269482759 0.253074020948276 0.942775782413793 -0.127268670908966 0.516901288586207 0.0818034825517241 0.0156267547724138 0.0752359098 0.0122575189206897 -0.0469846281275862 -0.263475870689655 -0.099428981862069 -0.0624753989310345 -0.163443679586207 -0.122569005344828 -0.122569005344828 -0.0574337889310345 0.0184285642448276 -0.132002056217241 -0.70906168172069 -0.554099813137931 -0.952254641034483 -0.0902180059517241 0.0840329567655172 -0.97028722862069 -0.723935883441379 -0.660162446662069 -0.337931034482759 0.137202296864828 -0.12390053817931 -0.974575554137931 -0.701081216310345 -0.663520046337931 -0.971462543448276 -0.10914560937931 -0.197838161506897 -0.978013705172414 -0.802615933413793 -0.539443982689655 -0.946360152758621 -0.781945951241379 -0.908045976896552 -0.520663865931035 -0.819376025862069 -0.110563475868966 -0.719192783 -0.537930656206897 -0.0853932817517241 -0.966562864482759 -0.934466937931035 -0.0303128297896552 -0.718865261551724 -0.649984161758621 0.0537511315517241 -0.749478142517241 -0.626881748068966 -0.0811054968827586 -0.764908368965517 -0.790996488965517 -0.60272965262069 -0.60272965262069 -0.719300785241379 -0.591543302586207 -0.786167047241379 -0.670226092793103 -0.723877447068966 -0.559688605172414 -0.809414302413793 -0.739309048862069 -0.66389874362069 -0.680498258917241 -0.765606002551724 -0.609049029103448 -0.658739261310345 -0.680012677341379 -0.690861710655172 -0.802222866896552
"LAYING" 9 0.269812447272727 -0.0269675700627273 0.171947357609091 0.95077071 -0.0986137524242424 0.178207967121212 0.141336165636364 -0.0350602947878788 0.0685679180909091 -0.124576107348485 -0.0391217205375758 0.0314647295151515 -0.0381169603527273 -0.0667410594484849 -0.12691534199697 -0.0673308685151515 -0.0673308685151515 -0.163831273875758 -0.0474383252 -0.200813289939394 -0.190061764081818 -0.245480548727273 -0.769230768484849 -0.319141217545455 -0.132447230727273 -0.949922288484848 -0.281794787939394 -0.460110514727273 -0.547878787878788 -0.421716164242424 -0.440787843576061 -0.950974071515152 -0.342250754030303 -0.508854098484849 -0.776384534848485 -0.308694438969697 -0.221427316363636 -0.978222818181818 -0.655172413030303 -0.713268034545455 -0.891293887878788 -0.390321271090909 -0.936285937272727 -0.63875761 -0.9028379 -0.093921091230303 -0.168938201242424 -0.174587851460606 -0.0924103419572727 -0.959008231212121 -0.911714048484848 -0.0166654039787879 -0.222069759666667 -0.43924797530303 0.114381134151515 -0.392183795575758 -0.484347225757576 -0.067772821869697 -0.605323991212121 -0.654809250606061 -0.135894086324242 -0.135894086324242 -0.360647166363636 -0.180299101636364 -0.630435652727273 -0.406479398625152 -0.164300779454545 -0.193726356090909 -0.55263487 -0.230732371212121 -0.456040990606061 -0.33488616730303 -0.413330216181818 -0.475619171515152 -0.167053698212121 -0.265313442133333 -0.479653060606061 -0.662578176363636
"LAYING" 10 0.280592535054054 -0.0182794762851351 -0.113951907436486 0.521485205 0.344662792459459 -0.188178719586486 0.0789777950783784 0.0159228797490541 -0.130539613495946 -0.0488754560337838 -0.0655041538036892 0.0246353071581081 -0.0775886943527027 -0.0544574047743243 0.025933030777027 -0.161191970905541 -0.161191970905541 -0.0246688351756757 -0.0915413342656757 -0.159438718554054 -0.482461969189189 -0.564416535428378 -0.862785862972973 -0.201654004101351 0.121068427591892 -0.948110365675676 -0.504581342514865 -0.620158113425676 -0.123783783783784 -0.0347877187378378 -0.0812301932027027 -0.951044237432432 -0.631047641297297 -0.661178074310811 -0.78191985027027 0.00174884131081081 -0.0194980071405405 -0.953541413648649 -0.618825721905405 -0.716111815810811 -0.843414842432432 -0.66224038472973 -0.856548856040541 -0.618821535067568 -0.909051908648649 -0.11863147737027 -0.463523442297297 -0.562496629891892 0.0743798388027027 -0.944021446081081 -0.942447808783784 -0.00725065347162162 -0.480331233864865 -0.612601925437838 0.0843277257912162 -0.673706039797297 -0.616268607027027 -0.0480095882405405 -0.732868499054054 -0.786686903648649 -0.457347898755405 -0.457347898755405 -0.566162330731892 -0.522038332272973 -0.754015759864865 -0.631229944216216 -0.457055879278378 -0.590702187552703 -0.717244334054054 -0.501983421351351 -0.632465553175676 -0.605128606994595 -0.68976205422973 -0.596552021445946 -0.478870317162162 -0.506555033202703 -0.684026275810811 -0.783608868378378
